Date,Blast_No,No_of_Holes,Explosion,Per_Hole,Depth,No_of_Rows,Spacing,Seam_location,Vibrometer,Distance,PPV,Blast_Timing,Frequency,Q,TQ,SD,SD_TQ,Stemming,Ch_length,log_PPV,log_SD,log_SD_TQ,log_D,log_Q,log_TQ,log_N,log_Depth,Source
06.11.25,2,60,3600,45.0,6.0,4.0,4.0,Seam 5floor ,15335,510.0,3.078,2:36pm,5.0,45.0,2700.0,76.02631123499285,9.814954576223638,4.0,2.0,1.1242800354166873,4.331079480833211,2.283907199722161,6.234410725718371,3.8066624897703196,7.901007051992421,4.0943445622221,1.791759469228055,Real
06.11.25,2,60,3600,45.0,6.0,4.0,4.0,Seam 5floor ,15336,490.0,3.812,2:36pm,7.125,45.0,2700.0,73.04488726499312,9.430054396763888,4.0,2.0,1.3381539857919558,4.291074146219512,2.243901865108462,6.194405391104673,3.8066624897703196,7.901007051992421,4.0943445622221,1.791759469228055,Real
06.11.25,2,60,3600,45.0,6.0,4.0,4.0,Seam 5floor ,23314,470.0,4.378,2:36pm,5.0,45.0,2700.0,70.06346329499341,9.045154217304137,4.0,2.0,1.4765919991006713,4.2494014498189445,2.2022291687078943,6.152732694704104,3.8066624897703196,7.901007051992421,4.0943445622221,1.791759469228055,Real
07.11.25,1,120,3600,25.0,3.5,5.0,4.0,Seam 4Floor ,20697,380.0,5.747,2:16pm,5.625,25.0,3000.0,76.0,6.937819061732104,2.333333333333333,1.1666666666666665,1.7486779795256044,4.330733340286331,1.9369874688953082,5.940171252720432,3.2188758248682006,8.006367567650246,4.787491742782046,1.252762968495368,Real
07.11.25,1,120,3600,25.0,3.5,5.0,4.0,Seam 4Floor ,20698,420.0,4.582,2:16pm,7.75,25.0,3000.0,84.0,7.6681158050723255,2.333333333333333,1.1666666666666665,1.5221355840313036,4.430816798843313,2.0370709274522905,6.040254711277414,3.2188758248682006,8.006367567650246,4.787491742782046,1.252762968495368,Real
07.11.25,1,120,3600,25.0,3.5,5.0,4.0,Seam 4Floor ,15335,440.0,7.081,2:16pm,7.625,25.0,3000.0,88.0,8.033264176742437,2.333333333333333,1.1666666666666665,1.957415140669637,4.477336814478207,2.0835909430871835,6.0867747269123065,3.2188758248682006,8.006367567650246,4.787491742782046,1.252762968495368,Real
07.11.25,1,120,3600,25.0,3.5,5.0,4.0,Seam 4Floor ,15336,470.0,5.12,2:16pm,9.875,25.0,3000.0,94.0,8.580986734247602,2.333333333333333,1.1666666666666665,1.6331544390514166,4.543294782270004,2.149548910878981,6.152732694704104,3.2188758248682006,8.006367567650246,4.787491742782046,1.252762968495368,Real
07.11.25,1,120,3600,25.0,3.5,5.0,4.0,Seam 4Floor ,23314,400.0,3.305,2:16pm,8.0,25.0,3000.0,80.0,7.302967433402214,2.333333333333333,1.1666666666666665,1.1954364733036495,4.382026634673881,1.9882807632828585,5.991464547107982,3.2188758248682006,8.006367567650246,4.787491742782046,1.252762968495368,Real
08.11.25,1,160,3600,35.0,6.0,5.0,4.0,Seam 4Floor ,20697,480.0,1.786,02:39:00,5.875,35.0,5600.0,81.1348084539376,6.414269805898185,4.0,2.0,0.5799784824543073,4.39611207315723,1.858525165540316,6.173786103901937,3.5553480614894135,8.630521876723241,5.075173815233827,1.791759469228055,Real
08.11.25,1,160,3600,35.0,6.0,5.0,4.0,Seam 4Floor ,20698,490.0,1.503,02:39:00,5.5,35.0,5600.0,82.82511696339462,6.547900426854397,4.0,2.0,0.40746311077083736,4.416731360359965,1.8791444527430519,6.194405391104673,3.5553480614894135,8.630521876723241,5.075173815233827,1.791759469228055,Real
08.11.25,1,160,3600,35.0,6.0,5.0,4.0,Seam 4Floor ,15335,520.0,1.759,02:39:00,8.5,35.0,5600.0,87.89604249176573,6.948792289723033,4.0,2.0,0.5647454657554211,4.4761547808307665,1.9385678732138527,6.253828811575473,3.5553480614894135,8.630521876723241,5.075173815233827,1.791759469228055,Real
08.11.25,1,160,3600,35.0,6.0,5.0,4.0,Seam 4Floor ,15336,540.0,1.769,02:39:00,6.25,35.0,5600.0,91.27665951067979,7.216053531635458,4.0,2.0,0.5704144151776482,4.513895108813613,1.9763082011966997,6.29156913955832,3.5553480614894135,8.630521876723241,5.075173815233827,1.791759469228055,Real
08.11.25,1,160,3600,35.0,6.0,5.0,4.0,Seam 4Floor ,23314,500.0,2.577,02:39:00,5.375,35.0,5600.0,84.51542547285166,6.681531047810609,4.0,2.0,0.946625931670228,4.436934067677485,1.8993471600605716,6.214608098422191,3.5553480614894135,8.630521876723241,5.075173815233827,1.791759469228055,Real
2025-11-03 00:00:00,100,85,3677,47.5,5.6,5.0,4.3,Seam 4Floor ,23314,409.0,1.957,14:45,3.73,47.5,4037.5,59.343957258998955,6.436755908482704,3.733333333333333,1.8666666666666665,0.6714126884139392,4.083350300522504,1.8620246722773457,6.013715156042802,3.8607297110405954,8.303380967530911,4.442651256490317,1.7227665977411035,Fake
2025-11-30 00:00:00,101,73,3466,48.1,4.5,4.0,3.0,Seam-3,15336,503.0,1.171,14:45,6.15,48.1,3511.3,72.5262874416054,8.488559884041814,3.0,1.5,0.15785808461558032,4.283949081543882,2.1387193609696857,6.220590170099739,3.8732821771117156,8.163741618260106,4.290459441148391,1.5040773967762742,Fake
2025-11-14 00:00:00,102,63,2828,43.3,5.1,3.0,5.4,Seam Top -5,20698,421.0,1.72,14:45,25.31,43.3,2727.8999999999996,63.97910311268771,8.060609330530006,3.3999999999999995,1.6999999999999997,0.5423242908253617,4.158556516178159,2.086989152982393,6.042632833682381,3.768152635008444,7.911287361399976,4.143134726391533,1.62924053973028,Fake
2025-11-18 00:00:00,103,100,5416,54.2,4.4,2.0,4.4,Seam-3,20698,504.0,1.366,14:45,4.14,54.2,5420.0,68.45905394044432,6.845905394044431,2.9333333333333336,1.4666666666666668,0.3118867611485984,4.226235813848569,1.9236507208545226,6.222576268071369,3.9926809084456005,8.597851094433691,4.605170185988092,1.4816045409242156,Fake
2025-11-29 00:00:00,104,120,5045,43.3,4.0,2.0,5.1,Seam 5 Floor ,15336,382.0,2.44,14:45,5.08,43.3,5196.0,58.05229783621545,5.299425506650592,2.6666666666666665,1.3333333333333333,0.8919980393051105,4.061344291102353,1.6675984197113303,5.945420608606575,3.768152635008444,8.55564437779049,4.787491742782046,1.3862943611198906,Fake
2025-11-24 00:00:00,105,121,5956,53.3,5.8,3.0,4.0,Seam-3,20697,460.0,2.314,15:30,5.48,53.3,6449.299999999999,63.00778712408429,5.727980647644026,3.8666666666666663,1.9333333333333331,0.8389776287714849,4.143258323897241,1.7453630510988707,6.131226489483141,3.975936331171799,8.77172687676854,4.795790545596741,1.7578579175523736,Fake
2025-11-07 00:00:00,106,150,8705,54.3,5.5,2.0,4.8,Seam Top -3,20698,423.0,2.181,15:30,14.29,54.3,8145.0,57.40377487731749,4.686998591967462,3.6666666666666665,1.8333333333333333,0.779783487219492,4.050110065576333,1.5447924185282051,6.0473721790462776,3.9945242269398897,9.005159521036147,5.0106352940962555,1.7047480922384253,Fake
2025-11-07 00:00:00,107,95,2519,25.5,4.9,6.0,3.7,Seam 5floor ,15335,457.0,0.967,15:00,4.58,25.5,2422.5,90.49948542806804,9.285051292404367,3.2666666666666666,1.6333333333333333,-0.033556783528842754,4.505344164812015,2.2284057190117443,6.124683390894205,3.2386784521643803,7.7925553437649215,4.553876891600541,1.589235205116581,Fake
2025-11-07 00:00:00,108,72,2164,27.9,5.9,4.0,4.1,Seam 4 Floor ,20698,476.0,1.135,15:30,20.61,27.9,2008.8,90.11661103386761,10.62034445993304,3.9333333333333336,1.9666666666666668,0.126632650933366,4.50110450981776,2.362771450309732,6.16541785423142,3.32862668882732,7.605292807843375,4.276666119016055,1.7749523509116738,Fake
2025-11-24 00:00:00,109,42,1964,46.9,4.0,4.0,3.5,Seam 4Floor ,15335,331.0,3.316,15:15,4.48,46.9,1969.8,48.332757391858095,7.457906378468764,2.6666666666666665,1.3333333333333333,1.1987592372730485,3.8781095376509462,2.009274728509262,5.802118375377063,3.8480176754522337,7.585687293735602,3.7376696182833684,1.3862943611198906,Fake
2025-11-23 00:00:00,110,139,3261,25.9,5.0,2.0,3.6,Seam Top -5,20698,341.0,1.96,14:15,6.74,25.9,3600.1,67.00458118378101,5.6832543997925935,3.333333333333333,1.6666666666666665,0.6729444732424258,4.204760992930771,1.737524026365425,5.831882477283517,3.254242968705492,8.188716901836184,4.9344739331306915,1.6094379124341003,Fake
2025-11-05 00:00:00,111,69,2363,36.1,4.6,4.0,4.5,Seam 4 Floor ,20697,533.0,1.384,15:30,15.5,36.1,2490.9,88.71021015103926,10.679454326450726,3.0666666666666664,1.5333333333333332,0.3249778571954777,4.485374991496427,2.368321739197797,6.278521424165844,3.586292865338835,7.820399369936094,4.23410650459726,1.5260563034950492,Fake
2025-11-04 00:00:00,112,138,7900,61.1,4.1,4.0,4.1,Seam Top -3,15335,513.0,1.86,14:45,5.66,61.1,8431.800000000001,65.62914705157196,5.586724003577691,2.733333333333333,1.3666666666666665,0.62057648772511,4.184019912081994,1.7203930695033924,6.240275845170769,4.11251186617755,9.039765551334753,4.927253685157205,1.410986973710262,Fake
2025-11-16 00:00:00,113,112,3778,34.5,3.8,4.0,3.8,Seam 5floor ,20698,360.0,1.93,14:30,4.58,34.5,3864.0,61.2904702146299,5.791405068790081,2.533333333333333,1.2666666666666666,0.6575200029167942,4.115624369431499,1.7563749337839514,5.886104031450156,3.5409593240373143,8.259458195332408,4.718498871295094,1.33500106673234,Fake
2025-11-22 00:00:00,114,135,5672,43.4,3.4,4.0,4.7,Seam 4 Floor ,15335,500.0,1.683,14:30,18.02,43.4,5859.0,75.89709258986454,6.532181680580171,2.2666666666666666,1.1333333333333333,0.5205779152086689,4.329378377869012,1.8767409886497974,6.214608098422191,3.770459441106359,8.67573421954479,4.90527477843843,1.2237754316221157,Fake
2025-11-16 00:00:00,115,97,5868,58.3,5.8,4.0,3.5,Seam Top -5,15336,323.0,3.843,14:00,7.95,58.3,5655.099999999999,42.30271534496883,4.295189980025321,3.8666666666666663,1.9333333333333331,1.346253311582707,3.7448512765444333,1.4574957872927419,5.777652323222656,4.065602093356446,8.640313071859829,4.574710978503383,1.7578579175523736,Fake
2025-11-27 00:00:00,116,134,6725,51.5,5.4,5.0,3.8,Seam 5floor ,23314,443.0,1.319,14:30,20.31,51.5,6901.0,61.730545066237326,5.332706877664964,3.6,1.8,0.2768738737351775,4.12277886621029,1.6738589662348349,6.093569770045136,3.9415818076696905,8.8394216076206,4.897839799950911,1.6863989535702288,Fake
2025-11-29 00:00:00,117,137,3738,27.3,6.2,3.0,4.9,Seam 4Floor ,20697,563.0,0.993,14:45,25.07,27.3,3740.1,107.7524295808966,9.205911335002504,4.133333333333333,2.0666666666666664,-0.007024614936964466,4.679836277044233,2.2198458141301707,6.333279628139691,3.3068867021909143,8.226867628019038,4.919980925828125,1.824549292051046,Fake
2025-11-03 00:00:00,118,77,3460,49.1,5.6,2.0,4.8,Seam Top -3,23314,435.0,2.089,15:30,5.0,49.1,3780.7000000000003,62.07954295714347,7.074620501746926,3.733333333333333,1.8666666666666665,0.7366854825744287,4.128416513688447,1.9565138027616047,6.075346031088684,3.893859034800475,8.237664456654159,4.343805421853684,1.7227665977411035,Fake
2025-11-16 00:00:00,119,96,2455,25.0,5.4,2.0,4.6,Seam Top -5,20697,525.0,0.971,14:00,12.2,25.0,2400.0,105.0,10.716517624676404,3.6,1.8,-0.029428810690812168,4.653960350157523,2.371786254423605,6.263398262591624,3.2188758248682006,7.783224016336037,4.564348191467836,1.6863989535702288,Fake
2025-11-14 00:00:00,120,106,2388,25.0,3.4,3.0,3.9,Seam 5 Floor ,23314,448.0,1.253,14:45,10.9,25.0,2650.0,89.6,8.702721326721086,2.2666666666666666,1.1333333333333333,0.22554067591393118,4.4953553199808844,2.163635772924851,6.104793232414985,3.2188758248682006,7.882314918980268,4.663439094112067,1.2237754316221157,Fake
2025-11-20 00:00:00,121,49,1896,42.6,3.5,4.0,3.8,Seam Top -3,20698,638.0,0.706,14:15,2.75,42.6,2087.4,97.74980037922535,13.964257197032191,2.333333333333333,1.1666666666666665,-0.34814004148889505,4.582411156707128,2.6365010076518143,6.45833828334479,3.751854253275325,7.643674551385952,3.8918202981106265,1.252762968495368,Fake
2025-11-23 00:00:00,122,104,2778,25.0,4.5,4.0,4.5,Seam 4Floor ,15336,477.0,1.08,15:15,8.72,25.0,2600.0,95.4,9.354739646091378,3.0,1.5,0.0769610411361284,4.558078578454241,2.235883128883555,6.1675164908883415,3.2188758248682006,7.8632667240095735,4.6443908991413725,1.5040773967762742,Fake
2025-11-02 00:00:00,123,145,4345,32.7,4.6,3.0,4.0,Seam Top -5,20698,590.0,0.865,14:15,3.86,32.7,4741.5,103.17586897544368,8.568289548392324,3.0666666666666664,1.5333333333333332,-0.14502577205025774,4.636434997948162,2.1480681267378743,6.380122536899765,3.487375077903208,8.464108820323782,4.976733742420574,1.5260563034950492,Fake
2025-11-05 00:00:00,124,82,3020,35.2,5.3,6.0,3.9,Seam 4 Floor ,15336,603.0,0.945,14:15,6.02,35.2,2886.4,101.63562926633374,11.223777643458572,3.533333333333333,1.7666666666666666,-0.05657035148839435,4.62139415542516,2.418034531793033,6.401917196727186,3.5610460826040513,7.967765329868305,4.406719247264253,1.667706820558076,Fake
2025-11-01 00:00:00,125,114,3261,27.8,5.6,3.0,3.0,Seam-3,20698,401.0,1.654,14:30,8.1,27.8,3169.2000000000003,76.05398499154087,7.123108325732428,3.733333333333333,1.8666666666666665,0.5031965966014995,4.331443416958273,1.9633441927610256,5.993961427306569,3.3250360206965914,8.061234469091087,4.736198448394496,1.7227665977411035,Fake
2025-11-19 00:00:00,126,104,7431,69.0,5.6,4.0,5.4,Seam 4 Floor ,15336,478.0,2.414,14:00,7.4,69.0,7176.0,57.544437774997675,5.642696367566133,3.733333333333333,1.8666666666666665,0.8812851226753398,4.052557480192826,1.73036203062214,6.169610732491456,4.23410650459726,8.878497403738631,4.6443908991413725,1.7227665977411035,Fake
2025-11-08 00:00:00,127,107,5755,57.0,6.1,3.0,3.8,Seam-3,15335,392.0,2.525,15:30,3.09,57.0,6099.0,51.92166839694972,5.019457141146036,4.066666666666666,2.033333333333333,0.9262410627273232,3.9497362058731875,1.6133217886422344,5.971261839790462,4.04305126783455,8.715880102296456,4.672828834461906,1.8082887711792655,Fake
2025-11-29 00:00:00,128,55,3377,63.3,3.8,3.0,6.0,Seam 4 Floor ,23314,426.0,2.099,14:45,6.83,63.3,3481.5,53.54362176094946,7.219820485403197,2.533333333333333,1.2666666666666666,0.7414610408384961,3.980496681694305,1.9768300890780697,6.054439346269371,4.147885329150131,8.155218514382602,4.007333185232471,1.33500106673234,Fake
2025-11-13 00:00:00,129,116,3571,31.6,5.6,3.0,4.6,Seam 3 floor ,23314,370.0,2.239,14:45,6.98,31.6,3665.6000000000004,65.82004619424585,6.111237868434829,3.733333333333333,1.8666666666666665,0.8060293376166178,4.186924445341837,1.8101293497886546,5.91350300563827,3.4531571205928664,8.206747311699232,4.7535901911063645,1.7227665977411035,Fake
2025-11-09 00:00:00,130,117,3038,27.1,5.6,2.0,3.0,Seam 4 Floor ,20697,423.0,1.274,14:45,2.59,27.1,3170.7000000000003,81.25605285430282,7.512124743794894,3.733333333333333,1.8666666666666665,0.24216155714997162,4.39760531510345,2.0165183477045723,6.0473721790462776,3.299533727885655,8.06170766268341,4.762173934797756,1.7227665977411035,Fake
2025-11-23 00:00:00,131,93,4668,54.8,5.3,2.0,3.0,Seam 5 Floor ,15335,448.0,1.778,15:00,13.67,54.8,5096.4,60.51844141932951,6.27547003922177,3.533333333333333,1.7666666666666666,0.5754891370917129,4.102948135438001,1.8366483888613725,6.104793232414985,4.00369019395397,8.536289687107226,4.532599493153256,1.667706820558076,Fake
2025-11-27 00:00:00,132,98,3667,34.9,5.3,6.0,5.2,Seam 3 floor ,23314,475.0,1.28,14:15,6.54,34.9,3420.2,80.40460007653199,8.122091136101167,3.533333333333333,1.7666666666666666,0.2468600779315258,4.38707138943045,2.094587650095164,6.163314804034641,3.5524868292083815,8.137454307878953,4.584967478670572,1.667706820558076,Fake
2025-11-13 00:00:00,133,40,1836,43.5,3.6,3.0,4.3,Seam-3,15335,247.0,5.234,15:30,7.06,43.5,1740.0,37.45004335279783,5.921371773344494,2.4,1.2,1.655175804107954,3.623007867580658,1.7785681405236897,5.5093883366279774,3.7727609380946383,7.461640392208574,3.6888794541139363,1.2809338454620642,Fake
2025-11-01 00:00:00,134,79,3428,39.7,5.3,3.0,4.9,Seam 5floor ,15336,568.0,1.24,14:00,3.19,39.7,3136.3,90.14737443979114,10.142372028245692,3.533333333333333,1.7666666666666666,0.2151113796169455,4.501445824874579,2.3167218986410685,6.342121418721152,3.681351187693145,8.050799040160166,4.3694478524670215,1.667706820558076,Fake
2025-11-12 00:00:00,135,93,3834,40.2,4.2,4.0,4.9,Seam Top -3,15335,391.0,2.704,15:30,2.87,40.2,3738.6000000000004,61.668549117429016,6.39473065188845,2.8,1.4,0.9947321581807178,4.121774062172879,1.85547431559625,5.968707559985366,3.6938669956249757,8.22646648877823,4.532599493153256,1.4350845252893227,Fake
